month,day,enemy,map,spawn,result,reason,tac type(our),tac type(enemy),じゃいこ,ららら,ちちろー,のーみーと,いーじー,すらもん,えっぐ,くろ,かなむ,かげろー,のべ,ばっこん,人数,,,,
12,6,SZ,Winter Malinovka,北,負け,殲滅,ラッシュ,両受け,主力HT,,火力枠,LT,,主力HT,,主力HT,主力HT,,主力HT,,7,,,,
12,6,SZ,Winter Malinovka,南,負け,キャプ,ラッシュ,両受け,主力HT,,火力枠,LT,,主力HT,,主力HT,主力HT,,主力HT,,7,,,,
12,6,SZ,Rockfield,北,負け,キャプ,両受け,両受け,火力枠,,火力枠,LT,,主力HT,主力HT,,主力HT,,主力HT,,7,,,,
12,6,SZ,Rockfield,南,負け,殲滅,ラッシュ,両受け,主力HT,,火力枠,主力HT,,主力HT,主力HT,,主力HT,,主力HT,,7,,,,
12,7,101AD,Normandy,北,負け,殲滅,ラッシュ,両受け,火力枠,主力HT,,LT,主力HT,主力HT,,,主力HT,主力HT,,,7,,,,
12,7,101AD,Normandy,南,勝ち,殲滅,ラッシュ,両受け,主力HT,主力HT,,LT,主力HT,主力HT,,,火力枠,主力HT,,,7,,,,
12,7,101AD,Port Bay,北,負け,殲滅,両受け,両受け,火力枠,主力HT,,LT,主力HT,,,主力HT,,主力HT,主力HT,,7,,,,
12,7,101AD,Port Bay,南,負け,殲滅,両受け,両受け,主力HT,主力HT,,LT,主力HT,,,主力HT,,主力HT,主力HT,,7,,,,
12,7,101AD,Naval Frontier,北,勝ち,殲滅,両受け,ラッシュ,火力枠,主力HT,,LT,,主力HT,,主力HT,主力HT,,主力HT,,7,,,,
12,7,101AD,Naval Frontier,南,負け,殲滅,両受け,ラッシュ,主力HT,主力HT,,LT,,主力HT,,主力HT,主力HT,,主力HT,,7,,,,
12,7,101AD,Faust,北,負け,殲滅,両受け,両攻め,LT,,,,火力枠,主力HT,,主力HT,主力HT,主力HT,主力HT,,7,,,,
12,7,101AD,Faust,南,勝ち,殲滅,両受け,ラッシュ,LT,,,,火力枠,主力HT,,主力HT,主力HT,主力HT,主力HT,,7,,,,
12,7,101AD,Desert Sands,北,負け,殲滅,両受け,ラッシュ,LT,主力HT,,LT,火力枠,主力HT,,主力HT,,主力HT,,,7,,,,
12,7,101AD,Desert Sands,南,勝ち,殲滅,両受け,ラッシュ,LT,主力HT,,主力HT,火力枠,主力HT,,主力HT,,主力HT,,,7,,,,
12,7,101AD,Yukon,北,負け,殲滅,両攻め,ラッシュ,火力枠,主力HT,,LT,主力HT,,,主力HT,,主力HT,主力HT,,7,,,,
12,7,101AD,Yukon,南,勝ち,殲滅,両攻め,両受け,LT,主力HT,,,火力枠,主力HT,,主力HT,,主力HT,主力HT,,7,,,,
12,8,L4ST,Alpen,北,勝ち,殲滅,両受け,両受け,LT,主力HT,,,火力枠,主力HT,主力HT,主力HT,,,主力HT,,7,,,,
12,8,L4ST,Alpen,南,勝ち,キャプ,両受け,両受け,LT,主力HT,,,火力枠,主力HT,主力HT,主力HT,,,主力HT,,7,,,,
12,8,L4ST,BGV,北,負け,キャプ,両受け,ラッシュ,LT,主力HT,,,主力HT,,主力HT,主力HT,主力HT,,主力HT,,7,,,,
12,8,L4ST,BGV,南,負け,殲滅,両受け,ラッシュ,火力枠,主力HT,,,主力HT,主力HT,,主力HT,主力HT,,主力HT,,7,,,,
12,8,L4ST,Port Bay,北,負け,殲滅,ラッシュ,ラッシュ,主力HT,主力HT,,,主力HT,主力HT,主力HT,主力HT,主力HT,,,,7,,,,
12,8,L4ST,Port Bay,南,勝ち,殲滅,ラッシュ,ラッシュ,LT,主力HT,,,主力HT,主力HT,火力枠,主力HT,火力枠,,,,7,,,,
12,8,L4ST,Winter Malinovka,北,負け,殲滅,両受け,両受け,LT,主力HT,,,主力HT,主力HT,主力HT,主力HT,主力HT,,,,7,,,,
12,8,L4ST,Winter Malinovka,南,勝ち,キャプ,両受け,両受け,LT,主力HT,,,主力HT,主力HT,主力HT,主力HT,主力HT,,,,7,,,,
12,9,KING,Alpen,北,勝ち,キャプ,両受け,両受け,LT,主力HT,,火力枠,,主力HT,主力HT,主力HT,,主力HT,,,7,,,,
12,9,KING,Alpen,南,勝ち,殲滅,両受け,両受け,LT,主力HT,,,,火力枠,主力HT,主力HT,火力枠,主力HT,,,7,,,,
12,9,KING,BGV,北,勝ち,キャプ,両受け,両受け,,主力HT,,LT,主力HT,主力HT,主力HT,主力HT,主力HT,,,,7,,,,
12,9,KING,BGV,南,勝ち,キャプ,両受け,両受け,火力枠,主力HT,,火力枠,主力HT,,主力HT,主力HT,主力HT,,,,7,,,,
12,9,KING,Castilla,北,勝ち,殲滅,ラッシュ,両受け,LT,主力HT,,主力HT,主力HT,主力HT,,,主力HT,主力HT,,,7,,,,
12,9,KING,Castilla,南,勝ち,殲滅,両攻め,両受け,主力HT,,,LT,主力HT,主力HT,主力HT,,主力HT,主力HT,,,7,,,,
12,9,KING,Rockfield,北,勝ち,キャプ,両受け,ラッシュ,LT,,,火力枠,火力枠,主力HT,主力HT,,主力HT,主力HT,,,7,,,,
12,9,KING,Rockfield,南,勝ち,キャプ,両受け,両攻め,LT,,,火力枠,主力HT,主力HT,火力枠,,主力HT,主力HT,,,7,,,,
12,9,KING,Port Bay,北,負け,キャプ,両受け,ラッシュ,LT,,,火力枠,火力枠,主力HT,主力HT,主力HT,,主力HT,,,7,,,,
12,9,KING,Port Bay,南,勝ち,キャプ,ラッシュ,両受け,LT,,,火力枠,火力枠,主力HT,火力枠,主力HT,,主力HT,,,7,,,,
12,10,LAOS,Oasis,北,勝ち,キャプ,両受け,両受け,,主力HT,,LT,火力枠,主力HT,,主力HT,,主力HT,,主力HT,7,,,,
12,10,LAOS,Oasis,南,勝ち,キャプ,両受け,両受け,,主力HT,,LT,火力枠,火力枠,,主力HT,,主力HT,,主力HT,7,,,,
12,10,LAOS,Normandy,北,負け,殲滅,ラッシュ,両受け,,主力HT,,LT,,主力HT,主力HT,主力HT,主力HT,,,主力HT,7,,,,
12,10,LAOS,Normandy,南,勝ち,キャプ,両受け,両受け,,主力HT,,LT,火力枠,主力HT,主力HT,主力HT,,,,主力HT,7,,,,
12,10,LAOS,Mayan Ruins,南,勝ち,殲滅,ラッシュ,両受け,,主力HT,,LT,,主力HT,,主力HT,主力HT,主力HT,,主力HT,7,,,,
12,10,LAOS,Mayan Ruins,北,負け,殲滅,ラッシュ,両受け,,主力HT,,LT,火力枠,主力HT,,,主力HT,主力HT,,主力HT,7,,,,
12,10,LAOS,Molendijk,北,勝ち,殲滅,ラッシュ,ラッシュ,,主力HT,,LT,火力枠,,主力HT,,主力HT,主力HT,,主力HT,7,,,,
12,10,LAOS,Molendijk,南,勝ち,殲滅,ラッシュ,両攻め,,主力HT,,LT,,,主力HT,主力HT,主力HT,主力HT,,主力HT,7,,,,
12,11,RATS,Alpen,北,勝ち,キャプ,両受け,ラッシュ,LT,主力HT,,,火力枠,主力HT,主力HT,主力HT,,主力HT,,,7,,,,
12,11,RATS,Alpen,南,勝ち,キャプ,両受け,ラッシュ,LT,火力枠,,,主力HT,火力枠,主力HT,主力HT,,主力HT,,,7,,,,
12,11,RATS,Molendijk,北,負け,殲滅,両攻め,ラッシュ,LT,主力HT,,,火力枠,主力HT,主力HT,,主力HT,,,主力HT,7,,,,
12,11,RATS,Molendijk,南,負け,殲滅,両攻め,ラッシュ,LT,主力HT,,,火力枠,主力HT,主力HT,,主力HT,,,主力HT,7,,,,
12,11,RATS,Winter Malinovka,北,負け,殲滅,両受け,両攻め,LT,主力HT,,,,,主力HT,主力HT,主力HT,主力HT,,主力HT,7,,,,
12,11,RATS,Winter Malinovka,南,負け,殲滅,両受け,ラッシュ,LT,主力HT,,,,,主力HT,主力HT,主力HT,主力HT,,主力HT,7,,,,
12,11,RATS,Fort　Despair,北,勝ち,殲滅,ラッシュ,ラッシュ,,火力枠,,,火力枠,主力HT,火力枠,主力HT,主力HT,主力HT,,,7,,,,
12,11,RATS,Fort　Despair,南,勝ち,殲滅,ラッシュ,ラッシュ,,火力枠,,,火力枠,主力HT,火力枠,主力HT,主力HT,主力HT,,,7,,,,
12,12,G7,Canal,北,負け,殲滅,ラッシュ,両受け,LT,,,,火力枠,主力HT,主力HT,主力HT,LT,主力HT,,,7,,,,
12,12,G7,Canal,南,負け,殲滅,ラッシュ,両受け,LT,,,,LT,主力HT,主力HT,主力HT,LT,主力HT,,,7,,,,
12,12,G7,Vineyards,北,負け,殲滅,両攻め,両受け,LT,,,,火力枠,,主力HT,主力HT,主力HT,,主力HT,主力HT,7,,,,
12,12,G7,Vineyards,南,負け,キャプ,両攻め,両受け,火力枠,,,,主力HT,,主力HT,主力HT,LT,,主力HT,主力HT,7,,,,
12,12,G7,Hellas,北,勝ち,殲滅,両受け,両攻め,火力枠,,,,主力HT,主力HT,,,LT,主力HT,主力HT,主力HT,7,,,,
12,12,G7,Hellas,南,勝ち,キャプ,両受け,両攻め,火力枠,,,,主力HT,主力HT,,,LT,主力HT,主力HT,主力HT,7,,,,
12,12,G7,Middleburg,北,負け,キャプ,両受け,両受け,火力枠,,,LT,,主力HT,主力HT,主力HT,,主力HT,主力HT,,7,,,,
12,12,G7,Middleburg,南,勝ち,キャプ,両受け,両受け,火力枠,,,主力HT,,主力HT,主力HT,主力HT,,主力HT,主力HT,,7,,,,
12,12,G7,Yukon,北,勝ち,殲滅,両攻め,両受け,火力枠,,,LT,主力HT,,主力HT,主力HT,主力HT,,,主力HT,7,,,,
12,12,G7,Yukon,南,勝ち,殲滅,両攻め,両受け,火力枠,,,LT,主力HT,,主力HT,主力HT,主力HT,,,主力HT,7,,,,
12,12,G7,New Bay,北,勝ち,殲滅,両受け,両攻め,火力枠,,,LT,主力HT,主力HT,主力HT,,,主力HT,主力HT,,7,,,,
12,12,G7,New Bay,南,負け,殲滅,両受け,両受け,火力枠,,,,主力HT,主力HT,,主力HT,,主力HT,主力HT,主力HT,7,,,,
12,13,ICT1,Dynasty’s Pearl,北,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,Dynasty’s Pearl,南,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,Ghost Factory,北,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,Ghost Factory,南,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,Faust,北,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,Faust,南,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,Mayan Ruins,北,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,Mayan Ruins,南,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,BGV,北,,,,,,,,,,,,,,,,,0,,,,
12,13,ICT1,BGV,南,,,,,,,,,,,,,,,,,0,,,,
,,,,北,,,,,,,,,,,,,,,,,0,,,,
,,,,南,,,,,,,,,,,,,,,,,0,,,,
,,,,北,,,,,,,,,,,,,,,,,0,,,,
,,,,南,,,,,,,,,,,,,,,,,0,,,,
,,,,北,,,,,,,,,,,,,,,,,0,,,,
,,,,南,,,,,,,,,,,,,,,,,0,,,,
,,,,北,,,,,,,,,,,,,,,,,0,,,,
,,,,南,,,,,,,,,,,,,,,,,0,,,,
,,,,北,,,,,,,,,,,,,,,,,0,,,,
,,,,南,,,,,,,,,,,,,,,,,0,,,,
,,,,北,,,,,,,,,,,,,,,,,0,,,,
,,,,南,,,,,,,,,,,,,,,,,0,,,,
